staging_id,investor,invested_amount,invested_equity,invested_debt
209,Peyush,37.5,1.43,
210,Namita,30.0,0.3,
210,Vineeta,30.0,0.3,
210,Anupam,30.0,0.3,
210,Aman,30.0,0.3,
210,Peyush,30.0,0.3,
211,Namita,50.0,0.833,
211,Aman,50.0,0.833,
211,Peyush,50.0,0.833,
214,Aman,15.0,10.0,35.0
217,Namita,33.33,1.0,
217,Aman,33.33,1.0,
217,Peyush,33.33,1.0,
218,Anupam,75.0,10.0,
219,Vineeta,25.0,10.0,12.5
219,Anupam,25.0,10.0,12.5
220,Namita,25.0,1.0,
220,Vineeta,25.0,1.0,
220,Anupam,25.0,1.0,
220,Peyush,25.0,1.0,
221,Namita,12.5,2.5,12.5
221,Vineeta,12.5,2.5,12.5
222,Vineeta,15.0,2.5,
222,Peyush,15.0,2.5,
224,Vineeta,33.33,3.33,
224,Anupam,33.33,3.33,
224,Aman,33.33,3.33,
225,Anupam,75.0,7.5,
227,Amit,60.0,5.0,
228,Anupam,40.0,20.0,
229,Aman,75.0,10.0,
231,Namita,50.0,1.0,
231,Anupam,50.0,1.0,
231,Aman,50.0,1.0,
231,Amit,50.0,1.0,
232,Aman,50.0,3.0,25.0
233,Vineeta,100.0,8.0,
237,Aman,100.0,1.25,
239,Namita,20.0,1.6,
239,Anupam,20.0,1.6,
240,Namita,6.0,4.0,
240,Vineeta,6.0,4.0,
240,Anupam,6.0,4.0,
240,Aman,6.0,4.0,
240,Peyush,6.0,4.0,
241,Namita,17.66,0.33,
241,Vineeta,17.66,0.33,
241,Aman,17.66,0.33,
241,Peyush,53.0,1.0,
243,Aman,90.0,1.0,
244,Anupam,0.0,0.166,
244,Aman,0.0,0.166,
244,Peyush,0.0,0.166,
247,Namita,40.0,10.0,
249,Namita,10.0,5.0,40.0
250,Anupam,50.0,7.0,20.0
251,Namita,50.0,5.0,100.0
253,Peyush,10.0,1.0,60.0
254,Aman,25.0,2.5,
254,Peyush,25.0,2.5,
255,Vineeta,50.0,2.5,20.0
256,Namita,26.66,0.833,
